Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
Z3.116,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 25th Sep 1979","Mon, 1st Apr 2024",
Z3.117,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Tue, 25th Sep 1979","Fri, 28th Jul 2023",
Z3.118,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 25th Sep 1979","Sat, 30th Mar 2024",
Z3.119,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Mon, 7th Jan 1980","Fri, 29th Mar 2024",
Z3.120,Yarra Trams,,PTV,Scrapped,Yarra Trams Refurbished,"Fri, 21st Dec 1979","Thu, 28th Oct 2021",
Z3.121,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Fri, 21st Dec 1979","Thu, 26th May 2022",
Z3.122,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 29th Jan 1980","Mon, 1st Nov 2021",
Z3.123,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 15th Feb 1980",,
Z3.124,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Fri, 15th Feb 1980","Mon, 8th Apr 2024",
Z3.125,Yarra Trams,,PTV,Withdrawn,Yarra Trams Refurbished,"Fri, 15th Feb 1980",45108,First non-refurb tram to receive YT livery
Z3.126,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Fri, 29th Feb 1980","Wed, 4th Jan 2023",
Z3.127,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 7th Mar 1980",,
Z3.128,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Mar 1980",,
Z3.129,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Thu, 17th Apr 1980","Sat, 30th Mar 2024",
Z3.130,Yarra Trams,,"Advertising Public Transport Victoria ""When a tram stops, you stop."" since Wednesday, 9th November 2022.",Withdrawn,Yarra Trams Refurbished,"Wed, 23rd Apr 1980","Mon, 25th Mar 2024",
Z3.131,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Wed, 30th Apr 1980",,
Z3.132,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Thu, 15th May 1980",,
Z3.133,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Mon, 2nd Jun 1980","Mon, 19th Jul 2021",
Z3.134,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 6th Jun 1980",,
Z3.135,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 17th Jun 1980",,
Z3.136,Yarra Trams,,"Advertising PTV Night Network ""Explore the night"" since Monday, 12th February 2018.",Withdrawn,M>Tram Refurbished,"Fri, 20th Jun 1980","Mon, 15th Mar 2021",at Preston Workshops
Z3.137,Yarra Trams,,Yarra Trams Mk 2,Withdrawn,Yarra Trams Refurbished,"Wed, 2nd Jul 1980","Mon, 15th Mar 2021",at Preston Workshops
Z3.138,Yarra Trams,,Yarra Trams Mk 4,Withdrawn,Yarra Trams Refurbished,"Mon, 14th Jul 1980","Tue, 8th Mar 2022",Retained M>Tram grab handles after internal refurbishment.
Z3.139,Yarra Trams,,PTV,Scrapped,M>Tram Refurbished,"Tue, 22nd Jul 1980","Wed, 21st Dec 2022",
Z3.140,Yarra Trams,,Yarra Trams Mk 2,Withdrawn,Yarra Trams Refurbished,"Tue, 22nd Jul 1980",,
Z3.141,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 1st Aug 1980",,
Z3.142,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 25th Aug 1980",,
Z3.143,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 8th Aug 1980",,
Z3.144,Yarra Trams,,PTV,Withdrawn,Yarra Trams Refurbished,"Fri, 29th Aug 1980","Mon, 5th Jul 2021",
Z3.145,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 25th Aug 1980",,
Z3.146,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 29th Aug 1980",,
Z3.147,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Fri, 29th Aug 1980","Fri, 29th Mar 2024",
Z3.148,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 10th Sep 1980",,
Z3.149,Swanston Trams,,Met Green and Yellow,Scrapped,Original - MET,"Wed, 17th Sep 1980","Mon, 8th Nov 1999","Fire at West Maribyrnong, broken up at Bombardier, Dandenong."
,,,,,,,,First Z3 to be withdrawn.
Z3.150,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 26th Sep 1980",,
Z3.151,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 28th Nov 1980",,
Z3.152,Yarra Trams,,Yarra Trams Mk 4,Withdrawn,Yarra Trams Refurbished,"Wed, 17th Dec 1980","Mon, 1st Nov 2021",
Z3.153,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 31st Oct 1980",,
Z3.154,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Thu, 13th Nov 1980",,
Z3.155,Yarra Trams,,"Advertising PTV / Vicroads safety campaign ""When you see tracks, check for trams, 70% of tram crashes happen when cars turn or merge on to tracks."" since Friday, 7th February 2020.",Withdrawn,M>Tram Refurbished,"Thu, 13th Nov 1980","Tue, 8th Mar 2022",
Z3.156,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Nov 1980",,
Z3.157,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 11th Dec 1980",,
Z3.158,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 15th Dec 1980",,
Z3.159,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 19th Dec 1980",,
Z3.160,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 19th Dec 1980",,
Z3.161,Yarra Trams,,PTV,Withdrawn,Yarra Trams Refurbished,"Tue, 3rd Mar 1981","Fri, 29th Mar 2024",
Z3.162,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 13th Mar 1981",,
Z3.163,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 20th Mar 1981",,
Z3.164,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 27th Mar 1981",,
Z3.165,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 24th Apr 1981",,
Z3.166,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 4th May 1981",,
Z3.167,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Wed, 6th May 1981",,
Z3.168,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 15th May 1981",,
Z3.169,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 15th May 1981",,
Z3.170,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Mon, 1st Jun 1981",,
Z3.171,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 3rd Jun 1981",,
Z3.172,Yarra Trams,,PTV,Withdrawn,Yarra Trams Refurbished,"Fri, 26th Jun 1981","Wed, 3rd Apr 2024",
Z3.173,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 11th Aug 1981",,
Z3.174,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 17th Jul 1981",,
Z3.175,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 11th Aug 1981",,
Z3.176,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 2nd Sep 1981",,
Z3.177,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 4th Sep 1981",,First Z3 in Yarra Trams livery.
Z3.178,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 2nd Oct 1981",,
Z3.179,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 7th Oct 1981",,
Z3.180,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 9th Oct 1981",,
Z3.181,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Thu, 29th Oct 1981",,
Z3.182,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 30th Oct 1981",,
Z3.183,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 20th Nov 1981",,
Z3.184,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 25th Nov 1981",,
Z3.185,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Thu, 17th Dec 1981",,First M>Tram Refurbishment
Z3.186,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 22nd Dec 1981",,
Z3.187,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 2nd Feb 1981",,
Z3.188,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 5th Feb 1982",,
Z3.189,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Tue, 2nd Mar 1982",,
Z3.190,Yarra Trams,,PTV,Withdrawn,M>Tram Refurbished,"Tue, 9th Mar 1982",43344,Stored following derailment on Tue.27.3.2018
Z3.191,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 20th Apr 1982",,
Z3.192,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 16th Apr 1982",,
Z3.193,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 21st Apr 1982",,
Z3.194,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Tue, 18th May 1982",,
Z3.195,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 25th May 1982",,
Z3.196,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 11th Jun 1982",,
Z3.197,Yarra Trams,,Yarra Trams Mk 4,Withdrawn,Yarra Trams Refurbished,"Mon, 12th Jul 1982",,Collision damage 28/6/2019
Z3.198,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 22nd Jul 1982",,
Z3.199,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Fri, 23rd Jul 1982",,
Z3.200,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 18th Aug 1982",,Features cameras in each drivers cabin.
Z3.201,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Tue, 10th Aug 1982",,
Z3.202,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 30th Aug 1982",,
Z3.203,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Tue, 14th Sep 1982",,
Z3.204,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Tue, 5th Oct 1982",,
Z3.205,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Wed, 13th Oct 1982",,
Z3.206,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Mon, 25th Oct 1982",,
Z3.207,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 2nd Dec 1982",,
Z3.208,Yarra Trams,,Yarra Trams Mk 4,Withdrawn,Yarra Trams Refurbished,"Mon, 20th Dec 1982",,
Z3.209,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 17th Feb 1983",,
Z3.210,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 25th Mar 1983",,
Z3.211,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 6th Apr 1983",,
Z3.212,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 13th Apr 1983",,
Z3.213,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Tue, 3rd May 1983",,
Z3.214,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 9th May 1983",,
Z3.215,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Fri, 29th Apr 1983",,
Z3.216,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 29th Jun 1983",,
Z3.217,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Wed, 13th Jul 1983",,
Z3.218,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 21st Jul 1983",,
Z3.219,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Wed, 10th Aug 1983",,
Z3.220,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 11th Aug 1983",,
Z3.221,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 29th Aug 1983",,
Z3.222,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 1st Sep 1983",,
Z3.223,Yarra Trams,,PTV,In Service,M>Tram Refurbished,"Tue, 27th Sep 1983",,
Z3.224,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 29th Sep 1983",,
Z3.225,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 20th Oct 1983",,
Z3.226,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 10th Nov 1983",,
Z3.227,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 24th Nov 1983",,
Z3.228,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Mon, 12th Dec 1983",,
Z3.229,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 19th Jan 1984",,
Z3.230,Yarra Trams,,PTV,In Service,Yarra Trams Refurbished,"Thu, 5th Apr 1984",,
A1.231,Yarra Trams,,Yarra Trams Mk 4,Withdrawn,Yarra Trams Refurbished,"Wed, 13th Jun 1984",41852,Withdrawn following fire damage to the main electrical cabinet area
A1.232,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Wed, 21st Nov 1984",,
A1.233,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Sun, 5th Aug 1984",,
A1.234,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Fri, 5th Oct 1984",,
A1.235,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Sep 1984",,
A1.236,Yarra Trams,Southbank,"Advertising Melbourne Art Tram since Monday, 16th June 2025.",In Service,Yarra Trams Refurbished,"Thu, 11th Oct 1984",,
A1.237,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Fri, 23rd Nov 1984",,
A1.238,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 6th Dec 1984",,
A1.239,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Fri, 14th Dec 1984",,
A1.240,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Tue, 18th Dec 1984",,
A1.241,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Wed, 19th Dec 1984",,
A1.242,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 20th Dec 1984",,
A1.243,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 22nd Feb 1985",,
A1.244,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 21st Feb 1985",,
A1.245,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Mon, 4th Mar 1985",,
A1.246,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Mon, 4th Mar 1985",,
A1.247,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 14th Mar 1985",,
A1.248,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Mon, 25th Mar 1985",,
A1.249,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Tue, 2nd Apr 1985",,
A1.250,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 16th Apr 1985",,
A1.251,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Mon, 20th May 1985",,
A1.252,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 6th Jun 1985",,
A1.253,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Fri, 14th Jun 1985",,
A1.254,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 26th Jun 1985",,
A1.255,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 8th Aug 1985",,
A1.256,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 12th Sep 1985",,
A1.257,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Wed, 25th Sep 1985",,
A1.258,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Thu, 10th Oct 1985",,
A2.259,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Mon, 10th Feb 1986",,
A2.260,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Mon, 16th Dec 1985",,
A2.261,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 20th Dec 1985",,
A2.262,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 9th Apr 1986",,
A2.263,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Mon, 24th Feb 1986",,
A2.264,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 9th Apr 1986",,
A2.265,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 9th Apr 1986",,
A2.266,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 17th Apr 1986",,
A2.267,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 30th Apr 1986",,
A2.268,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 21st May 1987",,
A2.269,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 21st May 1986",,
A2.270,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Tue, 27th May 1986",,
A2.271,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 11th Jun 1986",,
A2.272,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 18th Jun 1986",,
A2.273,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 5th Aug 1986",,
A2.274,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Mon, 4th Aug 1986",,
A2.275,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Tue, 12th Aug 1986",,
A2.276,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Aug 1986",,
A2.277,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 11th Sep 1986",,
A2.278,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 18th Sep 1986",,
A2.279,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 14th Nov 1986",,
A2.280,Yarra Trams,Kew,Yarra Trams Mk 4,In Service,Yarra Trams Refurbished,"Fri, 5th Dec 1986",,
A2.281,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 16th Dec 1986",,
A2.282,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 12th Feb 1987",,
A2.283,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 10th Jun 1987",,
A2.284,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 18th Mar 1987",,
A2.285,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 20th Mar 1987",,
A2.286,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 12th Mar 1987",,
A2.287,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 28th Apr 1987",,
A2.288,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 6th May 1987",,
A2.289,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Wed, 13th May 1987",,
A2.290,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 17th Jun 1987",,
A2.291,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Wed, 10th Jun 1987",,
A2.292,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Mon, 10th Aug 1987",,
A2.293,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 13th Aug 1987",,
A2.294,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 6th Aug 1987",,
A2.295,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 31st Jul 1987",,
A2.296,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Mon, 31st Aug 1987",Has B class style high beam headlights.,
A2.297,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 4th Sep 1987",,
A2.298,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Mon, 21st Sep 1987",,
A2.299,Yarra Trams,Southbank,PTV,In Service,Yarra Trams Refurbished,"Mon, 21st Sep 1987",,
A2.300,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Mon, 21st Sep 1987",,
B2.2003,Yarra Trams,Brunswick,,In Service,Yarra Trams Refurbished,"Tue, 25th Oct 1988",,
B2.2004,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 1st Sep 1988",,
B2.2005,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 1st Sep 1988",,
B2.2006,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished,"Thu, 27th Oct 1988",,
B2.2007,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 27th Oct 1988",,
B2.2008,Yarra Trams,Essendon,,In Service,Yarra Trams Refurbished,"Wed, 7th Dec 1988",,
B2.2009,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Fri, 15th Sep 1989",,
B2.2010,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 21st Feb 1989",,
B2.2011,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Tue, 21st Feb 1989",,
B2.2012,Yarra Trams,Brunswick,,In Service,Yarra Trams Refurbished,"Wed, 1st Feb 1989",,
B2.2013,Yarra Trams,Camberwell,,In Service,Yarra Trams Refurbished,"Tue, 21st Feb 1989",,
B2.2014,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Fri, 3rd Mar 1989",,
B2.2015,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished - Apollo Seating,"Mon, 10th Apr 1989",,
B2.2016,Yarra Trams,Essendon,,In Service,Yarra Trams Refurbished,"Thu, 11th May 1989",,
B2.2017,Yarra Trams,Glenhuntly,,In Service,M>Tram Refurbished,"Mon, 19th Jun 1989",,
B2.2018,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 23rd May 1989",,
B2.2019,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Mon, 3rd Jul 1989",,
B2.2020,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Fri, 14th Jul 1989",Out of service for engineering purposes from June 2013 until June 2016,
B2.2021,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Tue, 25th Jul 1989",,
B2.2022,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished,"Wed, 2nd Aug 1989",,
B2.2023,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 2nd Aug 1989",,
B2.2024,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 16th Aug 1989",,
B2.2025,Yarra Trams,Glenhuntly,PTV,In Service,M>Tram Refurbished,"Wed, 16th Aug 1989",,
B2.2026,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 17th Aug 1989",,
B2.2027,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 6th Sep 1989",,
B2.2028,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 4th Oct 1989",,
B2.2029,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 27th Sep 1989",,
B2.2030,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Wed, 21st Feb 1990",,
B2.2031,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 23rd Feb 1990",,
B2.2032,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 29th Mar 1990",,
B2.2033,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Fri, 27th Apr 1990",,
B2.2034,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 21st Feb 1990",,
B2.2035,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 29th Mar 1990",,
B2.2036,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 24th Apr 1990",,
B2.2037,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished,"Thu, 27th Sep 1990",,
B2.2038,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Mon, 23rd Apr 1990",,
B2.2039,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 24th Apr 1990",,
B2.2040,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Wed, 9th May 1990",,
B2.2041,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 27th Mar 1991",,
B2.2042,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Fri, 5th Oct 1990",,
B2.2043,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Mon, 2nd Jul 1990",,
B2.2044,Yarra Trams,Glenhuntly,PTV,In Service,M>Tram Refurbished,"Thu, 4th Oct 1990",,
B2.2045,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 11th Oct 1990",,
B2.2046,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished,"Mon, 15th Oct 1990",,
B2.2047,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 16th Oct 1990",Refurbished internally with an E class style colour scheme,
B2.2048,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished,"Wed, 24th Oct 1990",,
B2.2049,Yarra Trams,Camberwell,,In Service,Yarra Trams Refurbished,"Sat, 24th Feb 1990",,
B2.2050,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 26th Oct 1990",,
B2.2051,Yarra Trams,Camberwell,,In Service,M>Tram Refurbished,"Wed, 24th Oct 1990",,
B2.2052,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",,
B2.2053,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",,
B2.2054,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",,
B2.2055,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",Stored from November 2016 until 4.2.2021,
B2.2056,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Wed, 31st Oct 1990",,
