Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
C.3016,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 24th Jan 2002",First C class in PTV livery,
C.3017,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3018,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3019,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3020,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3021,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3022,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3023,Yarra Trams,Kew,,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3024,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",,
C.3025,Yarra Trams,Kew,,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3026,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3027,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3028,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3029,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",,
C.3030,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3031,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3032,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",,
C.3033,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",,
C.3034,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",,
C.3035,Yarra Trams,Kew,PTV,In Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",,
C.3036,Yarra Trams,Kew,,In Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",,
D1.3501,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Thu, 19th Dec 2002","Originally named Sir Robert Risson, naming decal removed during PTV livery application",
D1.3502,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Thu, 19th Dec 2002",,
D1.3503,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Thu, 19th Dec 2002",First D1 class tram in PTV livery,
D1.3504,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Thu, 19th Dec 2002",,
D1.3505,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3506,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3507,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3508,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3509,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3510,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3511,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Fri, 28th Feb 2003",,
D1.3512,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 2nd Jun 2003",,
D1.3513,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 2nd Jun 2003",,
D1.3514,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Wed, 4th Jun 2003","Involved in Accident on Delivery run, side-on with car. In service with plain white panels on apron and side skirt, no. 1 end",
D1.3515,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 2nd Jun 2003",,
D1.3516,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 2nd Jun 2003",,
D1.3517,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 2nd Jun 2003",,
D1.3518,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
D1.3519,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
D1.3520,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
D1.3521,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
D1.3522,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
